,traj,step,speed,num_collisions,num_offroad_visits,action,intention,safety_score
122,3,2,29.85398606,0,0,0,Safe,78
123,3,3,29.97504793,0,0,0,Safe,78
124,3,4,29.99573599,0,0,0,Safe,78
125,3,5,29.99927133,0,0,0,Safe,78
126,3,6,29.99987548,0,0,0,Safe,78
127,3,7,29.99997872,0,0,0,Safe,78
128,3,8,29.99999636,0,0,0,Safe,78
129,3,9,29.99999938,0,0,0,Safe,78
130,3,10,29.99999989,0,0,0,Safe,78
131,3,11,29.99999998,0,0,0,Safe,78
132,3,12,30.0,0,0,0,Safe,78
133,3,13,30.0,0,0,0,Safe,78
134,3,14,30.0,0,0,0,Safe,78
135,3,15,30.0,0,0,0,Safe,78
136,3,16,30.0,0,0,0,Safe,78
137,3,17,26.21657737,0,0,0,Safe,78
138,3,18,25.20789876,0,0,0,Safe,78
139,3,19,20.99677377,0,0,0,Safe,78
140,3,20,20.17033691,0,0,0,Safe,78
141,3,21,21.07849129,0,0,0,Safe,78
142,3,22,24.3298603,0,0,0,Safe,78
143,3,23,21.25413055,0,0,0,Safe,78
144,3,24,20.21431616,0,0,0,Safe,78
145,3,25,20.03662411,0,0,0,Safe,78
146,3,26,20.00625863,0,0,0,Safe,78
147,3,27,24.03982321,0,0,0,Safe,78
148,3,28,28.75451497,1,0,0,Safe,73
149,3,29,29.78716126,1,1,0,Safe,72
150,3,30,29.96362836,1,2,0,Safe,71
151,3,31,29.99378452,1,2,0,Safe,71
152,3,32,29.99893785,1,2,0,Safe,71
153,3,33,29.99981849,1,2,0,Safe,71
154,3,34,29.99996898,1,2,0,Safe,71
155,3,35,29.9999947,1,2,0,Safe,71
156,3,36,29.99999909,2,2,0,Safe,66
157,3,37,29.99999985,2,2,0,Safe,66
158,3,38,29.99999997,2,2,0,Safe,66
159,3,39,30.0,2,2,0,Safe,66
160,4,0,25.0,0,0,0,Safe,78
161,4,1,29.14555883,0,0,0,Safe,78
162,4,2,29.85398606,0,0,0,Safe,78
163,4,3,29.97504793,0,0,0,Safe,78
164,4,4,29.99573599,0,0,0,Safe,78
165,4,5,29.99927133,0,0,0,Safe,78
166,4,6,29.99987548,0,0,0,Safe,78
167,4,7,29.99997872,0,0,0,Safe,78
168,4,8,29.99999636,0,0,0,Safe,78
169,4,9,29.99999938,0,0,0,Safe,78
170,4,10,29.99999989,0,0,0,Safe,78
171,4,11,29.99999998,0,0,0,Safe,78
172,4,12,30.0,0,0,0,Safe,78
173,4,13,30.0,0,0,0,Safe,78
174,4,14,30.0,0,0,0,Safe,78
175,4,15,30.0,0,0,0,Safe,78
176,4,16,30.0,0,0,0,Safe,78
177,4,17,30.0,0,0,0,Safe,78
178,4,18,30.0,0,0,0,Safe,78
179,4,19,30.0,0,0,0,Safe,78
180,4,20,30.0,0,0,0,Safe,78
181,4,21,30.0,0,0,0,Safe,78
182,4,22,30.0,0,0,0,Safe,78
183,4,23,30.0,0,0,0,Safe,78
184,4,24,30.0,0,0,0,Safe,78
185,4,25,30.0,0,0,0,Safe,78
186,4,26,30.0,0,0,0,Safe,78
187,4,27,30.0,0,0,0,Safe,78
188,4,28,30.0,0,0,0,Safe,78
189,4,29,30.0,0,0,0,Safe,78
190,4,30,30.0,0,0,0,Safe,78
191,4,31,30.0,0,0,0,Safe,78
192,4,32,30.0,0,0,0,Safe,78
193,4,33,30.0,0,0,0,Safe,78
194,4,34,30.0,0,0,0,Safe,78
195,4,35,30.0,0,0,0,Safe,78
196,4,36,30.0,0,0,0,Safe,78
197,4,37,30.0,0,0,0,Safe,78
198,4,38,30.0,0,0,0,Safe,78
199,4,39,30.0,0,0,0,Safe,78
200,5,0,25.0,0,1,0,Safe,77
201,5,1,29.14555883,0,1,0,Safe,77
202,5,2,29.85398606,0,1,0,Safe,77
203,5,3,29.97504793,0,1,0,Safe,77
