,traj,step,speed,num_collisions,num_offroad_visits,action,intention,num_collisions_normalized,num_offroad_visits_normalized,speed_normalized,num_collisions_standradized,num_offroad_visits_standradized,speed_standradized
1119,27,39,29.999999999999982,5,1,0,Demolition,0.3333333333333333,0.05263157894736842,1.0,-0.06349256157278446,-0.8195779494759334,0.41343769227726457
1159,28,39,29.999999999999982,13,0,0,Demolition,0.8666666666666667,0.0,1.0,1.3877659886622902,-0.9633635546471497,0.41343769227726457
1199,29,39,29.999999999999982,7,0,0,Demolition,0.4666666666666667,0.0,1.0,0.2993220759859842,-0.9633635546471497,0.41343769227726457
1239,30,39,29.999999999999982,11,15,0,Nasty,0.7333333333333333,0.7894736842105263,1.0,1.0249513511035215,1.1934205229210961,0.41343769227726457
1279,31,39,29.999999999999982,12,16,-1,Nasty,0.8,0.8421052631578947,1.0,1.2063586698829059,1.3372061280923124,0.41343769227726457
1319,32,39,29.999999999999982,12,19,-1,Nasty,0.8,1.0,1.0,1.2063586698829059,1.7685629436059616,0.41343769227726457
1359,33,39,29.999999999999982,15,16,1,Nasty,1.0,0.8421052631578947,1.0,1.750580626221059,1.3372061280923124,0.41343769227726457
1399,34,39,29.999999999999982,11,16,1,Nasty,0.7333333333333333,0.8421052631578947,1.0,1.0249513511035215,1.3372061280923124,0.41343769227726457
1439,35,39,29.999999999999982,10,12,1,Nasty,0.6666666666666666,0.631578947368421,1.0,0.8435440323241372,0.7620637074074468,0.41343769227726457
1479,36,39,29.999999999999982,11,17,-1,Nasty,0.7333333333333333,0.8947368421052632,1.0,1.0249513511035215,1.4809917332635287,0.41343769227726457
1519,37,39,29.999999999999982,12,15,1,Nasty,0.8,0.7894736842105263,1.0,1.2063586698829059,1.1934205229210961,0.41343769227726457
1559,38,39,29.999999999999982,14,15,-1,Nasty,0.9333333333333333,0.7894736842105263,1.0,1.5691733074416747,1.1934205229210961,0.41343769227726457
1599,39,39,29.999999999999982,10,15,0,Nasty,0.6666666666666666,0.7894736842105263,1.0,0.8435440323241372,1.1934205229210961,0.41343769227726457
