traj,step,speed,num_collisions,num_offroad_visits,intention
0,0,25.0,0,0,Safe
0,1,25.0,0,0,Safe
0,2,25.0,0,0,Safe
0,3,25.0,0,0,Safe
0,4,25.0,0,0,Safe
0,5,27.53364907863714,0,0,Safe
0,6,29.578529645079747,0,0,Safe
0,7,29.927975675100427,0,0,Safe
0,8,29.98769189026777,0,0,Safe
0,9,29.997896688856272,0,0,Safe
0,10,29.999640568871776,0,0,Safe
0,11,29.999938577449026,0,0,Safe
0,12,29.9999895036087,0,0,Safe
0,13,29.99999820629022,0,0,Safe
0,14,29.999999693476106,0,0,Safe
0,15,29.99999994761867,0,0,Safe
0,16,29.999999991048647,0,0,Safe
0,17,29.99999999847032,0,0,Safe
0,18,29.99999999973859,0,0,Safe
0,19,29.99999999995533,0,0,Safe
0,20,29.999999999992365,0,0,Safe
0,21,29.999999999998696,0,0,Safe
0,22,29.99999999999978,0,0,Safe
0,23,29.99999999999996,0,0,Safe
0,24,29.999999999999982,0,0,Safe
0,25,29.999999999999982,0,0,Safe
0,26,29.999999999999982,0,0,Safe
0,27,29.999999999999982,0,0,Safe
0,28,29.999999999999982,0,0,Safe
0,29,29.999999999999982,0,0,Safe
0,30,29.999999999999982,0,0,Safe
0,31,29.999999999999982,0,0,Safe
0,32,29.999999999999982,0,0,Safe
0,33,29.999999999999982,0,0,Safe
0,34,29.999999999999982,0,0,Safe
0,35,29.999999999999982,0,0,Safe
0,36,29.999999999999982,0,0,Safe
0,37,29.999999999999982,0,0,Safe
0,38,29.999999999999982,0,0,Safe
0,39,29.999999999999982,0,0,Safe
1,0,25.0,0,0,Safe
1,1,25.0,0,0,Safe
1,2,25.0,0,0,Safe
1,3,25.0,0,0,Safe
1,4,25.0,0,0,Safe
1,5,25.0,0,0,Safe
1,6,25.0,0,0,Safe
1,7,25.0,0,0,Safe
1,8,28.918597890256457,0,0,Safe
1,9,29.815201102544943,0,0,Safe
1,10,29.96842004265305,0,0,Safe
1,11,29.994603356839413,0,0,Safe
1,12,29.999077777177376,0,0,Safe
1,13,29.999842402969907,0,0,Safe
1,14,29.999973068521747,0,0,Safe
1,15,29.999995397727226,0,0,Safe
1,16,29.99999921352573,0,0,Safe
1,17,29.9999998656008,0,0,Safe
1,18,29.999999977032758,0,0,Safe
1,19,29.99999999607517,0,0,Safe
1,20,29.99999999932929,0,0,Safe
1,21,29.999999999885382,0,0,Safe
1,22,29.99999999998041,0,0,Safe
1,23,29.999999999996653,0,0,Safe
1,24,29.999999999999428,0,0,Safe
1,25,29.9999999999999,0,0,Safe
1,26,29.999999999999982,0,0,Safe
1,27,29.999999999999982,0,0,Safe
1,28,29.999999999999982,0,0,Safe
1,29,29.999999999999982,0,0,Safe
1,30,29.999999999999982,0,0,Safe
1,31,29.999999999999982,0,0,Safe
1,32,29.999999999999982,0,0,Safe
1,33,29.999999999999982,0,0,Safe
1,34,29.999999999999982,0,0,Safe
1,35,29.999999999999982,0,0,Safe
1,36,29.999999999999982,0,0,Safe
1,37,29.999999999999982,0,0,Safe
1,38,29.999999999999982,0,0,Safe
1,39,29.999999999999982,0,0,Safe
2,0,25.0,0,0,Safe
2,1,29.1455588268693,0,0,Safe
2,2,29.85398605633181,0,0,Safe
2,3,29.975047934935745,0,0,Safe
2,4,29.99573598565089,0,0,Safe
2,5,29.99927133011546,0,0,Safe
2,6,29.9998754788898,0,0,Safe
2,7,29.999978720807302,0,0,Safe
2,8,29.999996363636328,0,0,Safe
2,9,29.99999937858823,0,0,Safe
2,10,29.99999989380804,0,0,Safe
2,11,29.99999998185304,0,0,Safe
2,12,29.9999999968989,0,0,Safe
2,13,29.99999999947006,0,0,Safe
2,14,29.99999999990944,0,0,Safe
2,15,29.999999999984524,0,0,Safe
2,16,29.99999999999736,0,0,Safe
2,17,29.99999999999955,0,0,Safe
2,18,29.99999999999992,0,0,Safe
